dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
crystk02,13966,491274,0.0183,0.0331,0.0192,0.0176,0.0191,0.0177,0.0207,0.0209,0.0249,0.029,2,1.04
crystk03,24697,887937,0.0288,0.0559,0.0298,0.0281,0.0298,0.03,0.0363,0.0371,0.0439,0.0478,2,1.02
crystm02,13966,168435,0.0171,0.0151,0.0176,0.0175,0.0167,0.015,0.015,0.015,0.0151,0.0151,4,1.01
crystm03,24697,304233,0.0265,0.024,0.0274,0.0274,0.0282,0.0242,0.0242,0.0242,0.0242,0.0241,9,1.0
ct2010,67579,168176,0.0311,0.0297,0.0322,0.0429,0.0323,0.0298,0.0298,0.0298,0.0298,0.0298,9,1.0
ct20stif,52330,1375396,0.051,0.0838,0.0527,0.051,0.0519,0.0577,0.0576,0.0648,0.0708,0.0757,0,1.0
Cube_Coup_dt0,2164761,64685452,2.8984,4.2074,2.841,4.3617,4.4879,5.2695,5.7684,6.0025,6.0041,4.5988,1,1.02
Cube_Coup_dt6,2164761,64685452,2.9416,4.1918,2.9424,4.3643,4.4755,5.2692,5.7658,6.0255,6.0027,4.5983,0,1.0
CurlCurl_0,11084,62213,0.0074,0.008,0.0077,0.0094,0.0099,0.0083,0.0082,0.0082,0.0084,0.0083,0,0.96
CurlCurl_4,2380516,14448191,2.3027,3.7533,2.3424,3.88,5.5993,3.8442,3.7712,3.7225,3.7396,3.7226,0,0.98
cvxqp3,17501,69981,0.0112,0.0101,0.0118,0.011,0.011,0.011,0.011,0.011,0.011,0.0111,9,0.92
cyl6,13682,363961,0.0201,0.0223,0.021,0.0134,0.0126,0.0142,0.0142,0.0144,0.0143,0.0175,3,1.6
darcy003,389875,1167685,0.3931,0.6202,0.4055,0.8504,0.7147,0.6308,0.6233,0.6235,0.6236,0.6232,0,0.97
dawson5,51538,531157,0.0367,0.0396,0.038,0.0429,0.0503,0.047,0.0463,0.0429,0.0397,0.0396,0,0.97
dblp-2010,326187,807700,0.2732,0.3821,0.2788,0.3888,0.3879,0.3832,0.3844,0.3825,0.3759,0.3824,0,0.98
dc3,116836,766396,0.1157,0.181,0.116,0.2213,0.2494,0.2517,0.2504,0.2489,0.2452,0.2427,0,1.0
de2010,24116,58028,0.014,0.0117,0.0151,0.0167,0.0126,0.0119,0.0118,0.0127,0.0118,0.0118,9,0.99
debr,1048577,2097149,1.0504,1.6229,1.047,1.8098,1.6241,1.6238,1.6238,1.6239,1.6234,1.6233,1,1.0
delaunay_n15,32769,98274,0.0137,0.015,0.015,0.0208,0.0225,0.0199,0.0159,0.0151,0.0152,0.015,0,0.91
delaunay_n16,65537,196575,0.0244,0.0273,0.0258,0.0396,0.0429,0.038,0.0303,0.0282,0.0282,0.0282,0,0.95
delaunay_n17,131073,393176,0.1142,0.1554,0.1173,0.167,0.1861,0.1647,0.1569,0.152,0.1526,0.1573,0,0.97
delaunay_n18,262145,786396,0.2365,0.3639,0.2416,0.4608,0.507,0.4569,0.3843,0.3655,0.3645,0.3638,0,0.98
delaunay_n19,524289,1572823,0.4781,0.7435,0.4844,0.9418,1.0418,0.9574,0.8054,0.7501,0.742,0.741,0,0.99
delaunay_n20,1048577,3145686,0.9546,1.4951,0.964,1.903,2.1027,1.9108,1.6048,1.5048,1.4931,1.4933,0,0.99
delaunay_n21,2097153,6291408,1.8905,3.0178,1.9249,3.8017,4.2133,3.8723,3.2734,3.0593,3.0183,3.0195,0,0.98
delaunay_n22,4194305,12582869,3.7843,5.9883,3.8563,7.6311,8.4195,7.6576,6.4518,6.0724,6.008,5.9936,0,0.98
denormal,89401,622812,0.0478,0.0691,0.0486,0.0935,0.093,0.0692,0.0691,0.0693,0.0693,0.0692,0,0.98
dictionary28,52653,89038,0.0188,0.0167,0.0201,0.0227,0.0194,0.0175,0.0176,0.0176,0.0168,0.0167,9,1.0
dielFilterV2clx,607233,12958252,0.9488,1.0531,0.9135,1.5313,1.7133,1.7284,1.6332,1.5148,1.4096,1.3352,1,1.04
dielFilterV2real,1157457,24848204,1.8153,2.0005,1.8231,2.996,3.2976,3.3046,3.1031,2.8501,2.6514,2.471,0,1.0
dielFilterV3clx,420409,16653308,0.8413,1.0288,0.8869,1.0875,1.1869,1.2598,1.2819,1.2857,1.2512,1.2195,0,0.95
Dubcova1,16130,134569,0.0121,0.0118,0.0127,0.0151,0.0159,0.015,0.0134,0.0127,0.0119,0.0119,9,0.99
Dubcova3,146690,1891669,0.1455,0.2179,0.1503,0.1725,0.2964,0.2995,0.3495,0.3526,0.3027,0.2989,0,0.97
e40r0100,17282,553562,0.0327,0.0363,0.034,0.0258,0.0241,0.0265,0.0289,0.0316,0.0339,0.0355,3,1.36
EAT_RS,23220,325592,0.0462,0.0257,0.047,0.033,0.0283,0.0266,0.0257,0.0257,0.0257,0.0257,9,1.0
ecology1,1000001,2998000,0.9581,1.4541,0.9393,2.5784,1.4556,1.4554,1.4552,1.4554,1.4552,1.4553,1,1.02
ecology2,1000000,2997995,0.9415,1.4544,0.9393,2.5797,1.4549,1.4554,1.4546,1.4556,1.4559,1.4554,1,1.0
email-Enron,36693,183831,0.0205,0.0216,0.0217,0.0234,0.0242,0.0234,0.0233,0.0225,0.0226,0.0225,0,0.94
Emilia_923,923137,20964171,1.1753,1.5621,1.1458,1.5346,2.0642,2.5063,2.4499,2.2841,1.8159,1.6866,1,1.03
engine,143572,2424822,0.1787,0.2308,0.1817,0.1927,0.2522,0.2849,0.2886,0.2853,0.2363,0.2365,0,0.98
enron,69245,276143,0.0381,0.0231,0.0388,0.029,0.0275,0.0261,0.0257,0.0224,0.0225,0.0226,6,1.03
eu-2005,862665,19235140,1.2127,1.579,1.1842,1.8649,1.9578,1.9743,1.9547,1.9338,1.9053,1.8689,1,1.02
ex11,16615,1096948,0.0313,0.0608,0.0323,0.029,0.029,0.0283,0.0331,0.0388,0.0462,0.0536,4,1.11
ex19,12006,259879,0.0167,0.0174,0.0176,0.0159,0.0144,0.0144,0.0174,0.0183,0.0176,0.0176,3,1.16
F1,343792,13590452,0.6049,0.8765,0.6316,0.7018,0.862,1.0463,1.0492,1.0097,0.9799,0.9571,0,0.96
F2,71506,2682895,0.1004,0.1616,0.101,0.0936,0.0986,0.1215,0.1273,0.1355,0.1445,0.1478,2,1.07
