dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,4,8,14,18,22,30,38,50,density,speedup
ccc,49153,73728,0.0068,0.0258,0.0069,0.0068,0.0175,0.0265,0.0265,0.0264,0.0265,0.0265,0,1.0
cfd1,70657,949510,0.0146,0.0687,0.0143,0.0167,0.0223,0.0281,0.0322,0.0413,0.0569,0.0732,4,1.02
Chebyshev4,68122,5377761,0.0637,0.6803,0.0634,0.0642,0.065,0.1117,0.1117,0.1338,0.2354,0.3517,4,1.0
circuit_4,80210,307604,0.0485,0.0515,0.0485,0.0494,0.0486,0.0388,0.0388,0.0486,0.0543,0.0543,18,1.25
circuit5M,5558327,59524291,4.449,8.6385,4.8872,5.2121,5.3128,7.0247,6.8193,6.6613,7.9578,7.9886,0,0.91
circuit5M_dc,3523318,19194193,1.0915,2.7073,1.199,1.3227,1.6549,1.6575,1.8219,1.9521,3.3334,3.3229,0,0.91
citationCiteseer,268496,1156647,0.1377,0.1285,0.1386,0.1453,0.1608,0.1502,0.1511,0.1511,0.151,0.1511,128,0.93
cit-Patents,3774769,16518948,2.2074,2.2761,2.2633,2.3794,2.6484,2.722,2.7553,2.7004,2.7615,2.7626,0,0.98
ckt11752_dc_1,49703,333029,0.0306,0.0327,0.0281,0.0314,0.0363,0.0232,0.024,0.0289,0.0306,0.0356,18,1.32
ckt11752_tr_0,49703,333029,0.0278,0.0328,0.0281,0.0314,0.0363,0.0232,0.024,0.0282,0.0306,0.0355,18,1.2
cnr-2000,325558,3216152,0.1527,0.329,0.1518,0.1567,0.1772,0.1952,0.196,0.1969,0.2018,0.2083,4,1.01
CO,221120,3943588,0.0748,0.2565,0.0682,0.0716,0.0838,0.2617,0.2632,0.2648,0.265,0.2698,4,1.1
coAuthorsCiteseer,227321,814134,0.0314,0.1157,0.0331,0.0354,0.0478,0.0642,0.0796,0.1015,0.1092,0.1148,0,0.95
coAuthorsDBLP,299068,977676,0.0583,0.147,0.0608,0.0666,0.0666,0.0904,0.1125,0.1411,0.151,0.1559,0,0.96
cond-mat-2003,31164,120029,0.0066,0.0188,0.0068,0.0076,0.0101,0.0126,0.0158,0.0191,0.0207,0.0215,0,0.97
cond-mat-2005,40422,175693,0.0108,0.0244,0.0108,0.0117,0.015,0.0175,0.0207,0.0248,0.0264,0.0281,0,1.0
conf5_4-8x8-05,49153,1916928,0.0193,0.2833,0.0207,0.0207,0.0231,0.0297,0.0297,0.0297,0.051,0.1396,0,0.93
conf5_4-8x8-10,49153,1916928,0.0195,0.2834,0.0206,0.0207,0.0232,0.0297,0.0298,0.0297,0.051,0.1395,0,0.95
conf5_4-8x8-15,49153,1916928,0.0193,0.2835,0.0207,0.0207,0.0232,0.0297,0.0297,0.0297,0.0511,0.1395,0,0.93
conf5_4-8x8-20,49153,1916928,0.0192,0.2833,0.0207,0.0207,0.0232,0.0298,0.0297,0.0297,0.051,0.1395,0,0.93
conf6_0-8x8-20,49153,1916928,0.0194,0.2836,0.0207,0.0207,0.0232,0.0305,0.0297,0.0297,0.051,0.1396,0,0.94
conf6_0-8x8-30,49153,1916928,0.0194,0.2835,0.021,0.0207,0.0232,0.0298,0.0297,0.0298,0.0511,0.1395,0,0.94
conf6_0-8x8-80,49153,1916928,0.0194,0.2833,0.0207,0.0207,0.0231,0.0297,0.0297,0.0297,0.051,0.1395,0,0.94
consph,83335,3046907,0.0241,0.4098,0.024,0.0256,0.0289,0.0362,0.0371,0.042,0.0461,0.0748,4,1.0
cont-201,80596,239596,0.0097,0.0442,0.0093,0.0092,0.0403,0.0404,0.0404,0.0404,0.0495,0.0493,8,1.05
cont-300,180896,539396,0.0166,0.0957,0.0166,0.0167,0.0846,0.0854,0.0854,0.0854,0.1068,0.1068,0,1.0
coPapersCiteseer,434103,16036720,0.2778,2.0595,0.2867,0.2972,0.3223,0.3735,0.3862,0.4218,0.489,0.5735,0,0.97
coPapersDBLP,540487,15245729,0.3414,1.8257,0.3507,0.372,0.4067,0.4322,0.45,0.4912,0.5336,0.6318,0,0.97
copter1,17223,114143,0.0052,0.0135,0.006,0.006,0.006,0.0108,0.0109,0.0109,0.0159,0.0159,0,0.87
CoupCons3D,416801,22322336,0.1998,2.7141,0.1952,0.2149,0.2325,0.2718,0.2707,0.2864,0.3689,0.6234,4,1.02
crankseg_1,52805,5333507,0.0418,0.771,0.0425,0.0428,0.0439,0.0561,0.0583,0.0627,0.101,0.205,0,0.98
crankseg_2,63839,7106348,0.0537,1.04,0.0535,0.0544,0.0567,0.074,0.0756,0.0805,0.1363,0.2829,4,1.0
