dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
soc-LiveJournal1,4847572,68993773,22.2279,24.1014,22.4253,29.9575,29.1658,28.1419,27.224,26.4845,25.8422,25.2087,0,0.99
soc-sign-Slashdot090221,82145,549202,0.091,0.0781,0.0944,0.1044,0.0916,0.0859,0.0843,0.0834,0.0821,0.081,9,0.96
sparsine,50001,799494,0.1156,0.1036,0.1186,0.1097,0.1056,0.1063,0.1056,0.1055,0.1048,0.1047,9,0.99
srb1,54925,1508538,0.0484,0.1724,0.0506,0.0792,0.0859,0.1023,0.1104,0.1303,0.1342,0.1524,0,0.96
Stanford,281904,2312497,0.633,0.7352,0.6412,0.7352,0.7386,0.7386,0.7381,0.7374,0.7413,0.7387,0,0.99
std1_Jac2,21983,1248731,0.0586,0.1437,0.0615,0.0722,0.0793,0.086,0.0957,0.103,0.1156,0.1393,0,0.95
std1_Jac3,21983,1455848,0.0644,0.1642,0.0671,0.0777,0.0867,0.0924,0.1014,0.1121,0.1261,0.1427,0,0.96
stokes128,49667,295938,0.026,0.0552,0.0286,0.0587,0.0843,0.0564,0.0564,0.0564,0.0564,0.0564,0,0.91
stokes64,12547,74242,0.0089,0.0167,0.0114,0.0195,0.0236,0.018,0.0179,0.0179,0.0179,0.0179,0,0.78
struct3,53571,613632,0.0331,0.0773,0.0361,0.076,0.1031,0.1145,0.0981,0.0843,0.0785,0.0793,0,0.92
t2dah,11446,93781,0.0078,0.0166,0.0098,0.0178,0.0235,0.0253,0.0269,0.0261,0.0253,0.0187,0,0.8
t2dah_a,11446,93781,0.0077,0.0167,0.0098,0.0179,0.0236,0.0253,0.0269,0.026,0.0252,0.0195,0,0.79
t2dah_e,11446,93781,0.0077,0.0167,0.0098,0.0175,0.0237,0.0254,0.0269,0.026,0.0253,0.0188,0,0.79
t3dh,79172,2215638,0.1362,0.2699,0.1385,0.1859,0.2267,0.2801,0.2696,0.2695,0.2707,0.2733,0,0.98
t3dh_a,79172,2215638,0.1363,0.2702,0.138,0.1868,0.2265,0.28,0.2696,0.2695,0.2712,0.2733,0,0.99
t3dh_e,79172,2215638,0.1359,0.2698,0.1384,0.1864,0.2266,0.28,0.2698,0.2693,0.2708,0.2736,0,0.98
t3dl,20361,265113,0.0217,0.0347,0.0236,0.0416,0.0475,0.0384,0.0379,0.0376,0.0367,0.0368,0,0.92
t3dl_a,20361,265113,0.0215,0.0347,0.024,0.0411,0.0474,0.0384,0.0376,0.0376,0.0368,0.0367,0,0.9
tandem_vtx,18455,135902,0.0154,0.0249,0.018,0.0343,0.0367,0.0367,0.0335,0.0294,0.0276,0.0268,0,0.86
ted_A,10606,424587,0.017,0.0513,0.0195,0.022,0.0228,0.0277,0.0318,0.0424,0.0425,0.0515,0,0.87
ted_AB,10606,522387,0.0236,0.0618,0.026,0.0285,0.0294,0.0352,0.0425,0.0539,0.0541,0.0622,0,0.91
ted_AB_unscaled,10606,522387,0.0236,0.0626,0.0261,0.0285,0.0286,0.0352,0.0424,0.0532,0.0539,0.0621,0,0.9
ted_A_unscaled,10606,424587,0.0169,0.0512,0.0195,0.0228,0.0228,0.0277,0.032,0.0425,0.0426,0.0516,0,0.87
ted_B_unscaled,10606,77592,0.0077,0.0159,0.0102,0.0163,0.0188,0.0195,0.0179,0.0187,0.0187,0.0187,0,0.75
thread,29737,2249892,0.0678,0.2477,0.0703,0.0817,0.0892,0.1105,0.1244,0.1661,0.1956,0.2127,0,0.96
tmt_sym,726714,2903837,0.833,1.4766,0.8354,1.9093,2.6959,1.4847,1.4822,1.478,1.4779,1.4796,0,1.0
torso1,116159,8516500,0.2518,1.1413,0.2546,0.3446,0.3961,0.3519,0.3642,0.3745,0.3876,0.425,0,0.99
