dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,rode,ours_gflops
Cube_Coup_dt6, 2164760, 2164760, 64685452, 6.779824, 4803.188482, 13.108928, 2484.167513, 11.200717, 2907.382839
CurlCurl_0, 11083, 11083, 62213, 0.015386, 1885.906891, 0.020787, 1395.849731, 0.009523, 3046.854761
CurlCurl_4, 2380515, 2380515, 14448191, 5.983232, 1134.514226, 5.515638, 1230.693805, 3.181974, 2133.286154
cvxqp3, 17500, 17500, 69981, 0.020480, 1530.775039, 0.028272, 1108.880590, 0.016867, 1858.653058
cyl6, 13681, 13681, 363961, 0.037171, 4919.015162, 0.073197, 2498.001273, 0.050483, 3621.911554
darcy003, 389874, 389874, 1167685, 0.723536, 743.457051, 1.127526, 477.077931, 0.758886, 708.825409
dawson5, 51537, 51537, 531157, 0.093603, 2764.423789, 0.105267, 2458.115206, 0.074832, 3457.864519
dblp-2010, 326186, 326186, 807700, 0.511987, 807.720178, 0.610406, 677.487000, 0.430621, 960.340019
dc3, 116835, 116835, 766396, 3.164262, 62.004142, 0.265421, 739.193688, 0.172646, 1136.411603
de2010, 24115, 24115, 58028, 0.020787, 1429.261061, 0.028774, 1032.526742, 0.017306, 1716.804670
debr, 1048576, 1048576, 2097149, 2.259478, 475.216005, 2.991002, 358.990219, 2.236314, 480.138507
delaunay_n15, 32768, 32768, 98274, 0.028755, 1749.815274, 0.034912, 1441.231934, 0.018534, 2714.751444
delaunay_n16, 65536, 65536, 196575, 0.054682, 1840.589917, 0.067277, 1496.004573, 0.036147, 2784.348360
delaunay_n17, 131072, 131072, 393176, 0.189952, 1059.773563, 0.307302, 655.074968, 0.177357, 1135.034620
delaunay_n18, 262144, 262144, 786396, 0.553882, 726.932893, 0.634778, 634.292634, 0.433994, 927.743571
delaunay_n19, 524288, 524288, 1572823, 1.454797, 553.538048, 1.276083, 631.060253, 0.922202, 873.220505
delaunay_n20, 1048576, 1048576, 3145686, 3.265434, 493.224324, 2.567050, 627.409471, 1.880294, 856.563321
delaunay_n21, 2097152, 2097152, 6291408, 6.831001, 471.556184, 5.150804, 625.378346, 3.783232, 851.441518
delaunay_n22, 4194304, 4194304, 12582869, 13.839040, 465.525724, 10.338816, 623.130239, 7.586407, 849.206901
denormal, 89400, 89400, 622812, 0.117146, 2526.713331, 0.153190, 1932.192536, 0.104755, 2825.571876
dictionary28, 52652, 52652, 89038, 0.037376, 1219.698582, 0.044272, 1029.713056, 0.024883, 1832.057596
