dataSet,rows_,columns_,nonzeros_,Sputnik_time,sputnik_gflops,ours_time,ours_gflops
Si5H12, 19896, 19896, 379247, 1.590272, 118.898580, 0.064307,2940.278621
Si87H76, 240369, 240369, 5451000, 206.656204, 13.207334, 0.888218,3072.870222
sinc15, 11532, 11532, 568526, 0.551389, 263.956502, 0.049050,2967.254639
SiO, 33401, 33401, 675528, 4.408425, 76.517042, 0.117133,2879.805612
SiO2, 155331, 155331, 5719417, 88.212173, 32.745785, 1.068621,2703.088719
skirt, 12598, 12598, 104559, 0.628634, 80.029321, 0.015734,3197.396816
smallworld, 100000, 100000, 499998, 37.458309, 6.834237, 0.056525,4528.967291
sme3Dc, 42930, 42930, 3148656, 7.414272, 108.716797, 0.333517,2416.837664
smt, 25710, 25710, 1889447, 2.753229, 348.977578, 0.249722,3847.545063
soc-LiveJournal1, 4847571, 4847571, 68993773, 0.000205, 86242216.467741, 22.493668,785.216809
soc-sign-Slashdot090221, 82144, 82144, 549202, 26.079746, 5.390992, 0.067789,2074.025753
sparsine, 50000, 50000, 799494, 9.811865, 40.414429, 0.176538,2246.212333
srb1, 54924, 54924, 1508538, 11.746387, 64.556947, 0.098726,7680.933664
Stanford, 281903, 281903, 2312497, 283.609589, 2.087374, 0.383283,1544.547783
std1_Jac2, 21982, 21982, 1248731, 1.924730, 166.088341, 0.122163,2616.787502
std1_Jac3, 21982, 21982, 1455848, 1.930109, 193.096411, 0.140595,2650.852192
stokes128, 49666, 49666, 295938, 9.563847, 14.952150, 0.039421,3627.528080
stokes64, 12546, 12546, 74242, 0.618899, 57.923332, 0.011469,3125.758886
struct3, 53570, 53570, 613632, 11.111036, 27.042091, 0.066560,4514.207680
t2dah, 11445, 11445, 93781, 0.519776, 86.741117, 0.010563,4268.209647
t2dah_a, 11445, 11445, 93781, 0.519779, 86.740584, 0.010547,4274.684529
t2dah_e, 11445, 11445, 93781, 0.519782, 86.740051, 0.010614,4247.621202
t3dh, 79171, 79171, 2215638, 23.761614, 46.888183, 0.288666,3859.617711
t3dh_a, 79171, 79171, 2215638, 23.734478, 46.941791, 0.288666,3859.617711
t3dh_e, 79171, 79171, 2215638, 23.663181, 47.083226, 0.288358,3863.729551
t3dl, 20360, 20360, 265113, 1.637968, 79.687571, 0.039530,3301.973548
t3dl_a, 20360, 20360, 265113, 1.637990, 79.686485, 0.039731,3285.219192
tandem_vtx, 18454, 18454, 135902, 1.340826, 48.371393, 0.023040,2815.000048
