dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
c-70,68925,363955,0.0429,0.0579,0.0473,0.064,0.0633,0.0629,0.0609,0.0603,0.0601,0.0593,0,0.91
c-71,76639,468096,0.0712,0.1148,0.0765,0.1122,0.1117,0.1124,0.1098,0.1114,0.1112,0.1116,0,0.93
c-73,169423,724348,0.2366,0.3341,0.2445,0.3524,0.345,0.3416,0.3416,0.3433,0.3432,0.3451,0,0.97
c-73b,169423,724348,0.2366,0.3338,0.2446,0.3519,0.3444,0.3432,0.3436,0.3467,0.3437,0.3446,0,0.97
ca-AstroPh,18773,198110,0.0334,0.0274,0.0343,0.0284,0.0277,0.0276,0.0277,0.0277,0.0285,0.0277,9,0.99
ca-CondMat,23134,93497,0.021,0.0158,0.022,0.0179,0.0162,0.0162,0.0161,0.0162,0.0162,0.0163,9,0.98
cage14,1505786,27130349,4.8634,5.1814,4.9421,7.6318,6.4392,5.3571,5.1819,5.206,5.1823,5.1811,0,0.98
cage15,5154860,99199551,21.0214,22.1634,21.1695,30.6914,26.4162,22.7337,22.1685,22.1593,22.1607,22.1594,0,0.99
ca-HepPh,12009,118521,0.0198,0.0158,0.0211,0.0195,0.0178,0.0162,0.017,0.0171,0.017,0.017,9,0.98
caidaRouterLevel,192245,609066,0.1803,0.2729,0.1867,0.3612,0.2798,0.2753,0.2732,0.2709,0.2713,0.2753,0,0.97
cant,62452,2034917,0.0754,0.2035,0.0774,0.0807,0.0901,0.1004,0.1159,0.1391,0.1659,0.1802,0,0.97
case39,40217,526139,0.0225,0.0404,0.0261,0.0269,0.0276,0.0293,0.0301,0.0309,0.031,0.0334,0,0.86
case9,14455,75801,0.0079,0.0101,0.0089,0.0121,0.0105,0.0105,0.0113,0.0114,0.0114,0.0113,0,0.89
c-big,345242,1343126,0.5031,0.7145,0.5354,0.831,0.826,0.8135,0.7827,0.7613,0.7541,0.7395,0,0.94
cbuckle,13682,345098,0.0163,0.0321,0.0179,0.0146,0.0162,0.017,0.017,0.0178,0.0194,0.0235,2,1.12
ccc,49153,73728,0.0166,0.0248,0.0186,0.0253,0.0254,0.0253,0.0253,0.0253,0.0253,0.0254,0,0.89
cfd1,70657,949510,0.078,0.1128,0.0811,0.086,0.1043,0.103,0.1053,0.1066,0.1112,0.1119,0,0.96
Chebyshev4,68122,5377761,0.29,0.6359,0.293,0.294,0.3594,0.4341,0.6273,0.6342,0.6374,0.6371,0,0.99
circuit_4,80210,307604,0.0915,0.1183,0.0916,0.1069,0.1161,0.1209,0.1141,0.1164,0.117,0.1178,0,1.0
circuit5M,5558327,59524291,16.59,21.8956,16.8758,25.9493,27.7981,27.8361,27.8474,27.8401,27.8393,27.832,0,0.98
circuit5M_dc,3523318,19194193,6.8032,8.9571,6.9605,11.9697,10.6743,9.1419,8.9937,8.9794,8.9694,8.9682,0,0.98
citationCiteseer,268496,1156647,0.3301,0.4226,0.3349,0.4227,0.4221,0.4179,0.421,0.4182,0.4176,0.4215,0,0.99
cit-Patents,3774769,16518948,8.7582,9.8995,8.8703,10.2874,9.9165,9.9,9.897,9.8977,9.8967,9.8972,0,0.99
ckt11752_dc_1,49703,333029,0.0307,0.0339,0.0325,0.0449,0.0449,0.0407,0.0392,0.0384,0.0383,0.0375,0,0.94
ckt11752_tr_0,49703,333029,0.0307,0.0339,0.0326,0.045,0.0449,0.0408,0.039,0.0383,0.0383,0.0374,0,0.94
cnr-2000,325558,3216152,0.3772,0.5536,0.3848,0.6905,0.7041,0.6983,0.6859,0.6765,0.6671,0.6531,0,0.98
CO,221120,3943588,0.4001,0.4534,0.4027,0.7535,0.7547,0.7533,0.7485,0.689,0.6766,0.4545,0,0.99
coAuthorsCiteseer,227321,814134,0.221,0.3533,0.2269,0.4623,0.4724,0.4385,0.4084,0.3825,0.3755,0.3706,0,0.97
coAuthorsDBLP,299068,977676,0.2927,0.4686,0.3001,0.6453,0.6422,0.5942,0.5453,0.5176,0.4953,0.4859,0,0.98
cond-mat-2003,31164,120029,0.0185,0.0199,0.0203,0.0277,0.0246,0.022,0.0212,0.0213,0.0205,0.0208,0,0.91
cond-mat-2005,40422,175693,0.0256,0.0273,0.027,0.0367,0.0334,0.0302,0.0286,0.0285,0.0285,0.0286,0,0.95
conf5_4-8x8-05,49153,1916928,0.0894,0.1977,0.0908,0.0915,0.0989,0.1465,0.1678,0.176,0.1986,0.1982,0,0.98
conf5_4-8x8-10,49153,1916928,0.0893,0.1979,0.0907,0.0907,0.099,0.1465,0.1677,0.1759,0.1983,0.1982,0,0.98
conf5_4-8x8-15,49153,1916928,0.0893,0.1977,0.0908,0.0915,0.0991,0.1465,0.1678,0.1759,0.1989,0.1979,0,0.98
conf5_4-8x8-20,49153,1916928,0.0895,0.1977,0.0908,0.0907,0.099,0.1465,0.1678,0.1759,0.1984,0.1981,0,0.99
conf6_0-8x8-20,49153,1916928,0.0892,0.1977,0.0907,0.0916,0.0989,0.1465,0.1678,0.1761,0.1978,0.1983,0,0.98
conf6_0-8x8-30,49153,1916928,0.0894,0.1977,0.0908,0.0915,0.099,0.1465,0.1678,0.1761,0.198,0.1983,0,0.98
conf6_0-8x8-80,49153,1916928,0.0895,0.1978,0.0907,0.0907,0.099,0.1465,0.1679,0.176,0.1981,0.1986,0,0.99
consph,83335,3046907,0.1356,0.3203,0.1375,0.1416,0.1798,0.2058,0.245,0.2653,0.288,0.2903,0,0.99
cont-201,80596,239596,0.0342,0.0462,0.0374,0.0621,0.0621,0.0465,0.0466,0.0465,0.0465,0.0465,0,0.91
cont-300,180896,539396,0.1869,0.2818,0.1957,0.4286,0.4279,0.2829,0.2827,0.2836,0.284,0.2831,0,0.96
coPapersCiteseer,434103,16036720,0.7631,1.6234,0.7828,1.1231,1.2633,1.3337,1.3717,1.4266,1.4498,1.5806,0,0.97
coPapersDBLP,540487,15245729,0.9157,1.7048,0.9432,1.4748,1.6173,1.6854,1.7029,1.7089,1.7338,1.8297,0,0.97
copter1,17223,114143,0.013,0.0142,0.0137,0.0163,0.0195,0.0146,0.0146,0.0154,0.0146,0.0146,0,0.95
CoupCons3D,416801,22322336,1.0344,2.1916,1.0539,1.7141,1.7171,2.0002,2.1188,2.1924,2.193,2.5689,0,0.98
crankseg_1,52805,5333507,0.1793,0.5002,0.1804,0.1751,0.1867,0.2508,0.2786,0.3366,0.3993,0.4336,2,1.02
crankseg_2,63839,7106348,0.2478,0.7285,0.2492,0.2425,0.2657,0.3442,0.3854,0.4567,0.5405,0.5817,2,1.02
crplat2,18011,489478,0.0183,0.0461,0.0195,0.0203,0.0203,0.022,0.022,0.0261,0.026,0.0334,0,0.94
crystk02,13966,491274,0.0199,0.0486,0.0211,0.0203,0.0228,0.022,0.0268,0.0285,0.0334,0.0408,0,0.98
crystk03,24697,887937,0.0321,0.087,0.0334,0.0333,0.0351,0.0391,0.0465,0.0514,0.0613,0.0711,0,0.96
crystm02,13966,168435,0.0179,0.0224,0.0187,0.0195,0.022,0.0228,0.0228,0.0228,0.0228,0.0228,0,0.96
crystm03,24697,304233,0.0286,0.0379,0.0293,0.0318,0.0391,0.0383,0.0384,0.0383,0.0383,0.0383,0,0.98
ct2010,67579,168176,0.0338,0.033,0.0358,0.0481,0.0351,0.0334,0.0335,0.0334,0.0335,0.0334,9,0.99
ct20stif,52330,1375396,0.0501,0.1322,0.053,0.0555,0.0605,0.0694,0.0761,0.0892,0.0997,0.1105,0,0.95
Cube_Coup_dt0,2164761,64685452,3.2016,5.9453,3.2248,5.6335,5.8316,6.6459,7.1795,7.1838,7.1842,6.173,0,0.99
Cube_Coup_dt6,2164761,64685452,3.2024,5.9578,3.1867,5.6327,5.8311,6.6462,7.1797,7.1831,7.1833,6.1737,1,1.0
CurlCurl_0,11084,62213,0.0072,0.0093,0.0081,0.0105,0.0113,0.0097,0.0096,0.0097,0.0097,0.0097,0,0.89
CurlCurl_4,2380516,14448191,2.8861,4.6726,2.7773,5.4907,7.4703,4.7731,4.6887,4.6721,4.6728,4.6722,1,1.04
cvxqp3,17501,69981,0.0123,0.0118,0.0138,0.0121,0.0122,0.0122,0.0122,0.0122,0.0123,0.0122,9,0.98
cyl6,13682,363961,0.0156,0.0305,0.0163,0.0154,0.0154,0.017,0.0169,0.0179,0.0171,0.022,2,1.01
darcy003,389875,1167685,0.5961,0.8583,0.618,1.1005,1.0049,0.8695,0.8584,0.8578,0.8578,0.859,0,0.96
dawson5,51538,531157,0.0365,0.0527,0.0383,0.0465,0.0539,0.0534,0.0546,0.0531,0.053,0.0531,0,0.95
dblp-2010,326187,807700,0.3238,0.4628,0.3415,0.5703,0.579,0.5373,0.4999,0.4794,0.4731,0.4669,0,0.95
dc3,116836,766396,0.1625,0.2236,0.1666,0.3471,0.3637,0.37,0.3693,0.3645,0.3607,0.3583,0,0.98
de2010,24116,58028,0.0145,0.0128,0.0162,0.0178,0.0138,0.013,0.013,0.013,0.013,0.013,9,0.98
debr,1048577,2097149,1.4498,2.0209,1.4461,2.7252,2.0226,2.0218,2.022,2.0226,2.0223,2.022,1,1.0
delaunay_n15,32769,98274,0.0142,0.0159,0.0153,0.0236,0.0252,0.0219,0.0179,0.0162,0.0162,0.0162,0,0.93
delaunay_n16,65537,196575,0.0264,0.0298,0.0284,0.0449,0.0473,0.0415,0.0325,0.031,0.0311,0.0307,0,0.93
delaunay_n17,131073,393176,0.1424,0.2108,0.1474,0.2698,0.2788,0.2368,0.2142,0.2163,0.2134,0.2131,0,0.97
delaunay_n18,262145,786396,0.2931,0.4709,0.3012,0.6131,0.6765,0.6085,0.4895,0.4714,0.4709,0.4701,0,0.97
delaunay_n19,524289,1572823,0.5948,0.9661,0.612,1.2467,1.3782,1.2536,1.0449,0.9738,0.9662,0.9654,0,0.97
delaunay_n20,1048577,3145686,1.1902,1.9372,1.2213,2.5266,2.7675,2.4854,2.0758,1.9516,1.9369,1.9361,0,0.97
delaunay_n21,2097153,6291408,2.3837,3.9228,2.4466,5.0402,5.5502,5.0575,4.2368,3.9543,3.922,3.9191,0,0.97
delaunay_n22,4194305,12582869,4.7605,7.7683,4.8808,10.1276,11.0831,9.9649,8.3474,7.8373,7.7707,7.7658,0,0.98
denormal,89401,622812,0.1039,0.1568,0.1115,0.2981,0.2321,0.1566,0.157,0.157,0.1567,0.1568,0,0.93
dictionary28,52653,89038,0.0199,0.019,0.0211,0.0269,0.0219,0.0203,0.0194,0.0195,0.0195,0.0212,9,0.98
dielFilterV2clx,607233,12958252,1.0342,1.3885,1.0238,2.0001,2.1674,2.1,1.9464,1.8024,1.7163,1.6409,1,1.01
dielFilterV2real,1157457,24848204,1.978,2.8529,1.9937,3.8591,4.1411,3.976,3.7237,3.4108,3.4043,3.2302,0,0.99
dielFilterV3clx,420409,16653308,0.9544,1.6742,0.9602,1.4149,1.5888,1.6905,1.7628,1.7948,1.8163,1.8088,0,0.99
Dubcova1,16130,134569,0.0125,0.0158,0.0137,0.017,0.0178,0.017,0.0154,0.0154,0.0161,0.0162,0,0.91
Dubcova3,146690,1891669,0.2185,0.3011,0.2212,0.2947,0.433,0.4338,0.4415,0.4397,0.3983,0.4014,0,0.99
e40r0100,17282,553562,0.0343,0.0585,0.0351,0.0335,0.0343,0.0392,0.045,0.0498,0.054,0.058,2,1.02
EAT_RS,23220,325592,0.0507,0.0429,0.0523,0.0473,0.0441,0.0432,0.0433,0.0432,0.0433,0.0433,9,0.99
ecology1,1000001,2998000,1.1409,1.6865,1.1412,3.0523,1.6881,1.6879,1.6883,1.6881,1.6881,1.6876,0,1.0
ecology2,1000000,2997995,1.1396,1.6871,1.1404,3.053,1.6881,1.6879,1.6877,1.6877,1.6884,1.6883,0,1.0
email-Enron,36693,183831,0.0245,0.0273,0.0261,0.0301,0.0309,0.0309,0.031,0.0301,0.0301,0.0301,0,0.94
Emilia_923,923137,20964171,1.3023,2.019,1.2953,2.0511,2.693,3.0299,2.9348,2.6943,2.2119,2.0445,1,1.01
engine,143572,2424822,0.2382,0.3097,0.2442,0.308,0.3864,0.4192,0.4165,0.3816,0.3176,0.3162,0,0.98
enron,69245,276143,0.0376,0.0355,0.0392,0.0341,0.0334,0.0342,0.0335,0.0342,0.0343,0.0351,3,1.06
eu-2005,862665,19235140,1.4421,2.0372,1.4261,2.4646,2.5576,2.569,2.5481,2.5244,2.4853,2.4322,1,1.01
ex11,16615,1096948,0.0376,0.1027,0.0383,0.0367,0.0383,0.0398,0.0474,0.0582,0.0744,0.0884,2,1.02
ex19,12006,259879,0.0167,0.0273,0.0178,0.0187,0.0194,0.0202,0.0277,0.0276,0.0276,0.0278,0,0.94
F1,343792,13590452,0.8674,1.3932,0.8665,1.1161,1.3255,1.518,1.5008,1.4549,1.4049,1.3956,1,1.0
