dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,dur,density,speedup
ccc,49153,73728,0.0193,0.0446,0.0201,0.0455,0.0455,0.0458,0.0454,0.0459,0.0455,0.0455,0.0102,0,0.96
cfd1,70657,949510,0.0577,0.0881,0.0586,0.106,0.1389,0.107,0.0994,0.093,0.091,0.0897,0.015,0,0.98
Chebyshev4,68122,5377761,0.2189,0.9131,0.2202,0.2483,0.4202,0.46,0.8865,0.9065,0.914,0.9161,0.2117,0,0.99
circuit_4,80210,307604,0.0435,0.0806,0.0439,0.1339,0.1422,0.1429,0.1208,0.088,0.0864,0.0856,0.0175,0,0.99
circuit5M,5558327,59524291,10.4456,17.5733,10.4335,23.6869,26.7861,26.8045,26.8644,26.8321,26.8969,26.8035,3.7873,1,1.0
circuit5M_dc,3523318,19194193,4.5174,6.4252,4.5655,10.4122,9.1674,6.673,6.4748,6.4645,6.4416,6.4465,0.7901,0,0.99
citationCiteseer,268496,1156647,0.2703,0.3187,0.2736,0.3249,0.3215,0.321,0.3194,0.3193,0.321,0.3206,0.0604,0,0.99
cit-Patents,3774769,16518948,4.6681,5.7311,4.7109,6.2409,5.7581,5.7393,5.7371,5.734,5.7319,5.7368,0.7502,0,0.99
ckt11752_dc_1,49703,333029,0.0288,0.0495,0.0299,0.0782,0.079,0.07,0.066,0.0643,0.0635,0.0627,0.011,0,0.96
ckt11752_tr_0,49703,333029,0.0288,0.0502,0.0299,0.0782,0.0793,0.0701,0.0659,0.0643,0.0635,0.0626,0.011,0,0.96
cnr-2000,325558,3216152,0.3155,0.4588,0.3202,0.6807,0.7004,0.6876,0.6627,0.6476,0.6297,0.6016,0.0767,0,0.99
CO,221120,3943588,0.3455,0.3562,0.3482,0.7679,0.7671,0.7685,0.7568,0.7246,0.6981,0.3556,0.0638,0,0.99
coAuthorsCiteseer,227321,814134,0.1917,0.2975,0.1947,0.5518,0.5503,0.4706,0.3843,0.3579,0.3314,0.3212,0.0524,0,0.98
coAuthorsDBLP,299068,977676,0.2524,0.3942,0.2565,0.7527,0.7322,0.6263,0.5198,0.478,0.4479,0.4274,0.0672,0,0.98
cond-mat-2003,31164,120029,0.017,0.0289,0.0185,0.0446,0.039,0.0332,0.0307,0.03,0.0291,0.0291,0.0069,0,0.92
cond-mat-2005,40422,175693,0.0231,0.0383,0.0243,0.0594,0.052,0.0439,0.0405,0.0391,0.0389,0.0389,0.009,0,0.95
conf5_4-8x8-05,49153,1916928,0.0723,0.1388,0.0734,0.0764,0.0856,0.1258,0.1323,0.1348,0.1389,0.1389,0.0159,0,0.99
conf5_4-8x8-10,49153,1916928,0.0721,0.1388,0.0725,0.0741,0.0856,0.1258,0.1323,0.1347,0.1389,0.1389,0.0162,0,0.99
conf5_4-8x8-15,49153,1916928,0.0722,0.1387,0.0726,0.0738,0.0856,0.1258,0.1327,0.1348,0.1389,0.1388,0.0158,0,0.99
conf5_4-8x8-20,49153,1916928,0.0723,0.1388,0.0725,0.0736,0.0856,0.1258,0.1323,0.1349,0.1389,0.1388,0.0158,0,1.0
conf6_0-8x8-20,49153,1916928,0.0723,0.1387,0.0729,0.0742,0.0848,0.1258,0.1324,0.1347,0.1389,0.1388,0.016,0,0.99
conf6_0-8x8-30,49153,1916928,0.0721,0.1387,0.073,0.0736,0.0856,0.1258,0.1331,0.1348,0.1389,0.1389,0.0159,0,0.99
conf6_0-8x8-80,49153,1916928,0.0722,0.1388,0.0727,0.0738,0.0848,0.1258,0.1323,0.134,0.1388,0.139,0.016,0,0.99
consph,83335,3046907,0.092,0.2293,0.0938,0.1189,0.137,0.1617,0.1908,0.1888,0.1981,0.2088,0.0319,0,0.98
cont-201,80596,239596,0.0342,0.0724,0.0357,0.1077,0.1077,0.0725,0.0725,0.0725,0.0726,0.0725,0.0168,0,0.96
cont-300,180896,539396,0.1465,0.2321,0.1436,0.3463,0.3477,0.2317,0.2289,0.2273,0.2315,0.2274,0.0385,1,1.02
coPapersCiteseer,434103,16036720,0.5997,1.1737,0.614,1.0676,1.2239,1.2997,1.314,1.308,1.3189,1.3442,0.2258,0,0.98
coPapersDBLP,540487,15245729,0.7126,1.1975,0.7236,1.3792,1.5526,1.6184,1.613,1.5878,1.5727,1.5759,0.2119,0,0.98
copter1,17223,114143,0.0136,0.0191,0.0128,0.025,0.0308,0.0193,0.0201,0.0196,0.0194,0.0193,0.0038,1,1.06
CoupCons3D,416801,22322336,0.8082,1.4449,0.8187,1.0592,1.0598,1.4127,1.6373,1.7187,1.72,1.8596,0.228,0,0.99
crankseg_1,52805,5333507,0.1309,0.2986,0.1363,0.1447,0.1536,0.1855,0.2012,0.2297,0.2583,0.2738,0.0549,0,0.96
crankseg_2,63839,7106348,0.1818,0.4304,0.1815,0.1889,0.202,0.2429,0.2658,0.3038,0.3461,0.3676,0.0729,1,1.0
crplat2,18011,489478,0.0166,0.0339,0.0177,0.0234,0.0259,0.0282,0.0307,0.0356,0.0364,0.0374,0.0049,0,0.94
crystk02,13966,491274,0.0169,0.0356,0.0184,0.0217,0.0234,0.025,0.03,0.03,0.0307,0.034,0.0039,0,0.92
crystk03,24697,887937,0.0274,0.0609,0.0282,0.0349,0.0381,0.0439,0.0529,0.0528,0.0537,0.0561,0.0074,0,0.97
crystm02,13966,168435,0.016,0.0199,0.0169,0.0251,0.0275,0.0201,0.0201,0.0202,0.0201,0.0201,0.0033,0,0.95
crystm03,24697,304233,0.0253,0.0331,0.0258,0.0438,0.0471,0.0332,0.0332,0.0331,0.0332,0.0331,0.0056,0,0.98
ct2010,67579,168176,0.0317,0.0519,0.0332,0.0831,0.0569,0.0528,0.0529,0.0523,0.052,0.0529,0.0137,0,0.95
ct20stif,52330,1375396,0.0469,0.097,0.0479,0.0685,0.0792,0.0913,0.098,0.1045,0.1069,0.1061,0.0159,0,0.98
Cube_Coup_dt0,2164761,64685452,2.7897,4.2985,2.7429,4.9729,5.588,6.1205,7.1563,7.0984,7.0804,4.8294,0.9287,1,1.02
Cube_Coup_dt6,2164761,64685452,2.7693,4.4968,2.7907,4.9947,5.5942,6.1241,7.1477,7.1186,7.1083,4.9822,0.9259,0,0.99
CurlCurl_0,11084,62213,0.0072,0.0134,0.0087,0.0159,0.0184,0.0152,0.0144,0.0136,0.0136,0.0136,0.0024,0,0.83
