dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,8,16,24,32,40,48,56,64,density,speedup
delaunay_n16,65537,196575,0.0301,0.0343,0.0273,0.0281,0.0289,0.033,0.0346,0.0339,0.0338,0.0346,8,1.1
delaunay_n17,131073,393176,0.0542,0.0654,0.0563,0.0572,0.0587,0.064,0.0698,0.0698,0.0698,0.0698,0,0.96
delaunay_n18,262145,786396,0.1654,0.1978,0.2031,0.2082,0.2348,0.2021,0.1981,0.1984,0.1985,0.1985,0,0.83
delaunay_n19,524289,1572823,0.3697,0.4011,0.4521,0.4618,0.499,0.4219,0.4022,0.4022,0.4038,0.403,0,0.92
delaunay_n20,1048577,3145686,0.7662,0.7795,0.9712,0.9603,1.0735,0.8619,0.7809,0.7811,0.7803,0.7813,0,0.98
delaunay_n21,2097153,6291408,1.7906,1.5631,1.9499,1.8967,2.0614,1.7007,1.6131,1.6138,1.6128,1.6073,128,0.97
delaunay_n22,4194305,12582869,4.3011,3.1202,3.9196,3.9198,4.3309,3.4908,3.1209,3.1203,3.1202,3.1209,128,1.0
denormal,89401,622812,0.0558,0.0686,0.0568,0.0748,0.0748,0.074,0.074,0.0683,0.069,0.0691,0,0.98
dictionary28,52653,89038,0.0233,0.0194,0.0215,0.0207,0.0191,0.0199,0.0199,0.0199,0.0199,0.0199,24,1.02
dielFilterV2clx,607233,12958252,1.059,1.7333,1.3357,1.3906,1.2642,1.3328,1.3162,1.4051,1.5111,1.6412,0,0.84
dielFilterV2real,1157457,24848204,2.0642,3.1412,2.9828,2.8917,2.5536,2.6008,2.5603,2.8135,3.0489,3.1953,0,0.81
dielFilterV3clx,420409,16653308,1.0435,2.9239,1.4757,1.506,1.3181,1.4325,1.4374,1.4467,1.5928,1.6645,0,0.79
Dubcova1,16130,134569,0.0168,0.0186,0.0159,0.0183,0.0151,0.0148,0.015,0.015,0.0158,0.0183,32,1.14
Dubcova3,146690,1891669,0.1117,0.2503,0.1366,0.1622,0.1708,0.182,0.1818,0.1804,0.1796,0.1802,0,0.82
e40r0100,17282,553562,0.0437,0.0948,0.0495,0.0461,0.042,0.0413,0.0436,0.0461,0.0503,0.0543,32,1.06
EAT_RS,23220,325592,0.0636,0.0663,0.074,0.07,0.0633,0.0642,0.0658,0.0659,0.0666,0.0658,24,1.0
ecology1,1000001,2998000,0.5924,0.8093,0.666,0.6674,0.7807,0.7822,0.7792,0.7791,0.7829,0.809,0,0.89
ecology2,1000000,2997995,0.5931,0.7818,0.667,0.6671,0.7789,0.7819,0.7799,0.7803,0.7824,0.8071,0,0.89
email-Enron,36693,183831,0.0303,0.0319,0.033,0.0355,0.0289,0.0273,0.0289,0.0298,0.0305,0.0315,32,1.11
Emilia_923,923137,20964171,1.1571,2.3929,1.596,1.7282,1.7255,1.7198,1.6726,1.8527,1.8917,2.0595,0,0.72
engine,143572,2424822,0.1692,0.3599,0.182,0.2002,0.1982,0.2077,0.2261,0.2594,0.3388,0.3478,0,0.93
