dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,8,16,24,32,40,48,56,64,density,speedup
c-65,48067,204297,0.0298,0.0263,0.0308,0.0315,0.0266,0.0266,0.0266,0.0266,0.0266,0.0266,128,0.99
c-66,49990,274498,0.0309,0.0276,0.0316,0.0331,0.0283,0.0282,0.0282,0.0282,0.0274,0.0274,56,1.01
c-66b,49990,274498,0.0311,0.0276,0.0315,0.0331,0.0283,0.0282,0.0282,0.0282,0.0274,0.0274,56,1.01
c-67b,57976,294955,0.0347,0.0315,0.0373,0.0397,0.0299,0.0299,0.0315,0.0315,0.0316,0.0315,24,1.05
c-68,64811,315408,0.0389,0.0351,0.0405,0.043,0.0373,0.0356,0.0356,0.0356,0.0356,0.0356,128,0.99
c-69,67459,345714,0.0405,0.0362,0.0413,0.0446,0.038,0.038,0.0372,0.0364,0.0364,0.0363,128,1.0
c-70,68925,363955,0.0412,0.0373,0.0422,0.0454,0.0381,0.0381,0.038,0.038,0.0372,0.0372,56,1.0
c-71,76639,468096,0.0457,0.0426,0.047,0.0479,0.0446,0.0446,0.0445,0.0429,0.0422,0.0421,64,1.01
c-73,169423,724348,0.0257,0.0861,0.0265,0.0749,0.0888,0.0888,0.0888,0.0888,0.0888,0.0864,0,0.97
c-73b,169423,724348,0.0256,0.086,0.0265,0.0748,0.0888,0.0888,0.0889,0.0888,0.0881,0.0864,0,0.97
ca-AstroPh,18773,198110,0.0139,0.0118,0.0146,0.0151,0.0121,0.0118,0.0119,0.0119,0.0118,0.0119,128,1.0
ca-CondMat,23134,93497,0.0114,0.0115,0.0118,0.0134,0.0118,0.0119,0.0119,0.0119,0.0118,0.0118,0,0.97
cage14,1505786,27130349,0.8054,0.8974,0.925,1.1939,1.1248,1.0959,1.0533,1.0321,1.0323,1.0322,0,0.87
cage15,5154860,99199551,3.2543,3.3197,3.6439,4.5705,4.0966,3.994,3.8997,3.8,3.7934,3.728,0,0.89
ca-HepPh,12009,118521,0.0087,0.0074,0.0085,0.0093,0.0077,0.0077,0.0077,0.0077,0.0077,0.0077,128,0.96
caidaRouterLevel,192245,609066,0.0683,0.0861,0.0757,0.0929,0.0847,0.0864,0.0864,0.0864,0.0863,0.0864,0,0.9
cant,62452,2034917,0.0154,0.0474,0.0159,0.0224,0.0258,0.0274,0.0323,0.034,0.0348,0.0389,0,0.97
case39,40217,526139,0.0074,0.0222,0.0077,0.0085,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0,0.96
case9,14455,75801,0.0037,0.0076,0.0045,0.0045,0.0061,0.0061,0.007,0.0085,0.0085,0.0078,0,0.82
c-big,345242,1343126,0.1951,0.1733,0.201,0.2165,0.1814,0.1813,0.1757,0.1741,0.1732,0.174,56,1.0
cbuckle,13682,345098,0.0105,0.0094,0.0102,0.011,0.0064,0.0068,0.0069,0.0069,0.0069,0.007,24,1.47
ccc,49153,73728,0.006,0.0255,0.0069,0.0192,0.0257,0.0257,0.0257,0.0257,0.0257,0.0258,0,0.87
cfd1,70657,949510,0.0149,0.0373,0.0168,0.0242,0.0348,0.0372,0.0412,0.0413,0.0381,0.0381,0,0.89
Chebyshev4,68122,5377761,0.0643,0.1281,0.0635,0.0634,0.0822,0.0946,0.102,0.106,0.1208,0.1199,16,1.01
circuit_4,80210,307604,0.0481,0.043,0.0495,0.0486,0.0372,0.043,0.0438,0.0438,0.0437,0.0438,24,1.16
circuit5M,5558327,59524291,4.4492,4.2436,5.3201,5.3857,5.4657,5.4899,4.7863,4.7841,4.6886,4.7874,128,0.91
circuit5M_dc,3523318,19194193,1.0941,1.7786,1.2855,1.5712,1.416,1.4544,2.0946,2.0896,2.0895,2.089,0,0.85
citationCiteseer,268496,1156647,0.1511,0.1134,0.1592,0.1814,0.1142,0.1142,0.1143,0.1142,0.1142,0.1142,128,0.99
cit-Patents,3774769,16518948,2.2084,1.38,2.348,2.6025,1.5834,1.5747,1.5712,1.5711,1.5712,1.5709,128,0.88
ckt11752_dc_1,49703,333029,0.0305,0.0273,0.0347,0.0412,0.0241,0.0249,0.0257,0.0273,0.0275,0.0274,24,1.13
ckt11752_tr_0,49703,333029,0.0306,0.0272,0.0347,0.0413,0.0242,0.0249,0.0257,0.0273,0.0273,0.0273,24,1.12
cnr-2000,325558,3216152,0.1676,0.1463,0.1716,0.1772,0.1781,0.1756,0.1723,0.1699,0.1683,0.1667,128,0.88
CO,221120,3943588,0.0749,0.1121,0.0716,0.1355,0.1519,0.1519,0.1519,0.1488,0.1445,0.1125,8,1.05
coAuthorsCiteseer,227321,814134,0.0312,0.1095,0.0363,0.056,0.0863,0.0995,0.1043,0.106,0.1076,0.1076,0,0.86
coAuthorsDBLP,299068,977676,0.0581,0.1435,0.067,0.0774,0.1191,0.1363,0.1405,0.1421,0.1428,0.1429,0,0.87
cond-mat-2003,31164,120029,0.0066,0.0163,0.0077,0.0109,0.0142,0.0159,0.0166,0.0167,0.0168,0.0167,0,0.86
cond-mat-2005,40422,175693,0.0108,0.0208,0.0118,0.0159,0.0183,0.0201,0.0208,0.0207,0.0216,0.0216,0,0.92
conf5_4-8x8-05,49153,1916928,0.0197,0.051,0.0216,0.0224,0.0232,0.0233,0.0273,0.0372,0.0388,0.0388,0,0.91
conf5_4-8x8-10,49153,1916928,0.0193,0.051,0.0217,0.0232,0.0233,0.0233,0.0273,0.0372,0.0388,0.0388,0,0.89
conf5_4-8x8-15,49153,1916928,0.0194,0.051,0.0209,0.0225,0.0232,0.0232,0.0273,0.0372,0.0388,0.0388,0,0.93
conf5_4-8x8-20,49153,1916928,0.0193,0.051,0.0216,0.0225,0.0232,0.0233,0.0274,0.0372,0.0389,0.0388,0,0.89
conf6_0-8x8-20,49153,1916928,0.02,0.051,0.0216,0.0224,0.0233,0.0233,0.0273,0.0372,0.0388,0.0388,0,0.93
conf6_0-8x8-30,49153,1916928,0.0199,0.051,0.0215,0.0232,0.0232,0.0232,0.0274,0.0372,0.0388,0.0389,0,0.93
