dataSet,num_nodes,num_edges,dtc
cit-Patents,3774769,16518948,12.103202819824219
ckt11752_dc_1,49703,333029,0.1377280056476593
ckt11752_tr_0,49703,333029,0.13834241032600403
cnr-2000,325558,3216152,1.0882047414779663
CO,221120,3943588,0.9495648145675659
coAuthorsCiteseer,227321,814134,0.7258976101875305
coAuthorsDBLP,299068,977676,0.9381888508796692
cond-mat-2003,31164,120029,0.0961408019065857
cond-mat-2005,40422,175693,0.12062720209360123
conf5_4-8x8-05,49153,1916928,0.16506880521774292
conf5_4-8x8-10,49153,1916928,0.16486400365829468
conf5_4-8x8-15,49153,1916928,0.16435518860816956
conf5_4-8x8-20,49153,1916928,0.16486400365829468
conf6_0-8x8-20,49153,1916928,0.16566720604896545
conf6_0-8x8-30,49153,1916928,0.16444799304008484
conf6_0-8x8-80,49153,1916928,0.16568319499492645
consph,83335,3046907,0.3243007957935333
cont-201,80596,239596,0.2031615972518921
cont-300,180896,539396,0.551423966884613
coPapersCiteseer,434103,16036720,1.78329598903656
coPapersDBLP,540487,15245729,2.230374336242676
copter1,17223,114143,0.07301120460033417
CoupCons3D,416801,22322336,2.3169023990631104
crankseg_1,52805,5333507,0.2581503987312317
crankseg_2,63839,7106348,0.31530240178108215
crplat2,18011,489478,0.06848959624767303
crystk02,13966,491274,0.06297600269317627
crystk03,24697,887937,0.09297920018434525
crystm02,13966,168435,0.061030399054288864
crystm03,24697,304233,0.0893952026963234
ct2010,67579,168176,0.2422879934310913
ct20stif,52330,1375396,0.15421439707279205
Cube_Coup_dt0,2164761,64685452,8.575366020202637
Cube_Coup_dt6,2164761,64685452,8.597097396850586
CurlCurl_0,11084,62213,0.0535552017390728
CurlCurl_4,2380516,14448191,8.326451301574707
cvxqp3,17501,69981,0.06850560009479523
cyl6,13682,363961,0.05255360156297684
darcy003,389875,1167685,1.4045183658599854
dawson5,51538,531157,0.14458879828453064
dblp-2010,326187,807700,1.0489856004714966
de2010,24116,58028,0.0999424010515213
debr,1048577,2097149,3.541196823120117
delaunay_n15,32769,98274,0.12554240226745605
delaunay_n16,65537,196575,0.20664319396018982
delaunay_n17,131073,393176,0.5158944129943848
delaunay_n18,262145,786396,0.9071359634399414
delaunay_n19,524289,1572823,1.7389568090438843
delaunay_n20,1048577,3145686,3.383174419403076
delaunay_n21,2097153,6291408,6.746940612792969
delaunay_n22,4194305,12582869,13.4685697555542
denormal,89401,622812,0.30484479665756226
dictionary28,52653,89038,0.1449888050556183
dielFilterV2clx,607233,12958252,2.4746880531311035
dielFilterV2real,1157457,24848204,4.750540733337402
dielFilterV3clx,420409,16653308,1.9043424129486084
Dubcova1,16130,134569,0.06745920330286026
Dubcova3,146690,1891669,0.554534375667572
e40r0100,17282,553562,0.0679967999458313
EAT_RS,23220,325592,0.10229760408401489
ecology1,1000001,2998000,3.304870128631592
ecology2,1000000,2997995,3.313868761062622
email-Enron,36693,183831,0.11609920114278793
Emilia_923,923137,20964171,3.589184284210205
engine,143572,2424822,0.562444806098938
enron,69245,276143,0.16056320071220398
eu-2005,862665,19235140,3.350937604904175
ex11,16615,1096948,0.07585600018501282
ex19,12006,259879,0.055295996367931366
F1,343792,13590452,1.699772834777832
F2,71506,2682895,0.2854911983013153
Fault_639,638803,14626683,2.485759973526001
fcondp2,201823,5748069,0.7896063923835754
fem_hifreq_circuit,491101,20239237,2.9193599224090576
