dataSet,num_nodes,num_edges,spmm_tcu_sgt
lhr14,14271,307858,0.0374
xenon2,157465,3866688,0.4291
thermal2,1228046,4904179,1000000000
bratu3d,27793,88627,0.0228
soc-sign-epinions,131829,841372,0.7917
ecology1,1000001,2998000,1000000000
belgium_osm,1441296,1549970,1000000000
Ge87H76,112986,4002590,0.6347
ca-AstroPh,18773,198110,0.1058
rajat10,30203,80202,0.0228
GL7d21,1437548,18174775,1000000000
c-72,84065,395811,2.4278
g7jac140,41491,565956,0.1182
ABACUS_shell_hd,23413,218484,0.0454
gyro_k,17362,519260,0.0561
vsp_c-30_data_data,11024,62184,0.0113
c-65,48067,204297,1.0988
chem_master1,40402,201201,0.039
jan99jac100,34455,215862,0.0419
soc-LiveJournal1,4847572,68993773,1000000000
Transport,1602112,23500731,1000000000
lp_osa_60,243247,1408073,26816.332
mark3jac100sc,45770,285215,0.0564
n4c6-b11,132403,830820,0.1707
dielFilterV3clx,420409,16653308,1000000000
rgg_n_2_16_s0,65537,342127,0.0874
lhr34c,35153,764014,0.0794
vsp_south31_slptsk,39669,189914,0.0457
conf5_4-8x8-20,49153,1916928,0.2163
raefsky3,21201,1488768,0.0982
dictionary28,52653,89038,0.0308
wa2010,195575,473716,0.1654
parabolic_fem,525826,2100225,0.493
para-6,155925,5416358,1000000000
vsp_p0291_seymourl_iiasa,10499,53868,0.0867
g7jac180,53371,747276,0.1515
email-Enron,36693,183831,0.0511
fl2010,484482,1173147,0.3895
TSOPF_RS_b2383,38121,16171169,1000000000
ckt11752_tr_0,49703,333029,0.9716
hollywood-2009,1139906,57515616,1000000000
bundle_adj,513352,10360701,1000000000
rajat30,643995,6175377,1000000000
bayer01,57736,277774,0.0594
juba40k,40338,144945,0.0363
cz10228,10229,102876,0.0231
dc1,116836,766396,3738.8794
shar_te2-b3,200201,800800,0.2013
rajat25,87191,607235,57.3243
lung2,109461,492564,0.1044
lhr71,70305,1528092,0.1566
wing,62033,121544,0.041
lowThrust_8,17703,113139,0.0244
caidaRouterLevel,192245,609066,0.1738
venkat25,62425,1717792,0.1746
apache2,715177,2766523,0.6527
barrier2-4,113077,3805068,7.3244
spal_004,321697,46168124,1000000000
ljournal-2008,5363261,79023142,1000000000
sc205-2r,62424,123239,0.029
333SP,3712816,11108633,1000000000
3Dspectralwave2,292009,7307376,1000000000
copter1,17223,114143,0.0224
epb3,84618,463625,0.0792
sme3Db,29068,2081063,0.9804
CurlCurl_1,226452,1349261,0.2119
bcsstk37,25504,583240,0.0504
skirt,12599,104559,0.0198
Ga19As19H42,133124,4508981,0.8029
epb2,25229,175027,0.0303
rail_20209,20210,79721,0.0185
net75,23121,756160,0.2596
barrier2-9,115626,3897557,10.3217
HV15R,2017170,283073458,1000000000
hood,220543,5494489,1000000000
TSOPF_RS_b2052_c1,25627,6761100,1000000000
boneS10,914899,28191660,1000000000
patents,3774769,14970767,1000000000
mark3jac100,45770,285215,0.0566
af_3_k101,503626,9027150,1000000000
delaunay_n19,524289,1572823,0.3857
c-60,43641,171109,0.5963
af_5_k101,503626,9027150,1000000000
bundle1,10582,390741,0.0884
c-47,15344,113372,0.1051
shar_te2-b2,200201,600600,0.1527
Hamrle3,1447361,5514242,1000000000
astro-ph,16707,121251,0.0323
aug3dcqp,35544,77829,0.0266
denormal,89401,622812,0.0928
nj2010,169589,414956,0.1396
Delor64K,1785346,652140,1000000000
vsp_finan512_scagr7-2c_rlfddd,139753,552020,0.119
HTC_336_4438,226341,565431,0.1949
thread,29737,2249892,0.2964
soc-sign-Slashdot081106,77358,516575,0.2413
ASIC_680ks,682713,2329176,0.72
spmsrtls,29996,129971,0.0191
3D_28984_Tetra,28985,599170,4.0121
lowThrust_11,18369,117002,0.0256
ibm_matrix_2,51449,1056610,6.6262
ct2010,67579,168176,0.0574
ga2010,291087,709028,0.2371
shipsec8,114920,3384159,0.2777
pdb1HYS,36418,2190591,0.2061
pkustk05,37165,1121154,0.1505
TSOPF_FS_b300,29215,2203949,0.2466
ecl32,51994,380415,0.0743
t3dh,79172,2215638,0.2429
p010,19091,118000,5.5011
soc-sign-Slashdot090221,82145,549202,0.2517
bmw3_2,227363,5757996,1000000000
ESOC,327063,6019939,1000000000
Trefethen_20000b,20000,287217,0.0567
af_shell9,504856,9046865,1000000000
inlet,11731,328323,0.0323
shermanACb,18511,145149,8.1641
TSOPF_FS_b162_c4,40799,1204322,0.0991
IG5-16,18847,588326,0.1867
JP,87617,13734559,1000000000
std1_Jac3,21983,1455848,1.1711
ASIC_680k,682863,3871773,31692.5625
t3dh_a,79172,2215638,0.2425
TSOPF_RS_b39_c19,38099,684206,0.0609
GL7d19,1955310,37322725,1000000000
TSOPF_FS_b300_c1,29215,2203949,0.246
torsion1,40001,118804,0.0297
mark3jac040,18290,113435,0.0273
ca2010,710146,1744683,0.5763
neos3,518833,2055024,3.7871
bodyy4,17547,69742,0.0165
ford2,100197,322442,0.0867
patents_main,240548,560943,0.2045
sparsine,50001,799494,0.2111
wave,156318,1059331,0.1829
dielFilterV2real,1157457,24848204,1000000000
bmwcra_1,148771,5396386,1000000000
net4-1,88344,1265035,0.395
windscreen,22693,752541,0.0662
g7jac060sc,17731,203316,0.06
gas_sensor,66918,885141,0.1161
jan99jac120,41375,260202,0.0484
t2dah_e,11446,93781,0.0133
venturiLevel3,4026820,8054237,1000000000
ncvxqp7,87501,312481,0.0848
dc3,116836,766396,3753.0105
fullb,199188,5953632,1000000000
lpl3,33687,100525,0.7166
t3dh_e,79172,2215638,0.2425
internet,124652,207214,0.117
vt2010,32581,77799,0.0274
qa8fk,66128,863353,0.1062
roadNet-TX,1393384,1921660,1000000000
c-69,67459,345714,1.7984
sme3Dc,42931,3148656,1.2513
LargeRegFile,2111155,4944201,1000000000
mk13-b5,270271,810810,0.1879
as-Skitter,1696416,11095298,1000000000
TSOPF_FS_b39_c7,28217,368599,0.0416
helm3d01,32227,230335,0.0432
human_gene2,14341,9041364,1000000000
wathen100,30402,251001,0.0315
thermomech_dM,204317,813716,0.2276
s3dkt3m2,90450,1921955,0.1396
bcsstk29,13993,316740,0.0356
soc-Slashdot0811,77361,905468,1.1099
tp-6,1014302,11537419,1000000000
GL7d18,1955310,35590540,1000000000
psse0,26723,102432,0.0183
c-42,10472,60378,0.1392
mn2010,259778,613551,0.2073
opt1,15450,973052,0.1217
F2,71506,2682895,0.2931
c-61,43619,176817,0.8756
barrier2-1,113077,3805068,7.3306
wathen120,36442,301101,0.0374
cfd1,70657,949510,0.1227
