dataSet,num_nodes,num_edges,spmm_tcu_ori,spmm_tcu_part,spmm_tcu_binary,spmm_tcu
CoupCons3D,416801,22322336,1.1616,1.1454,1.1517,1.1523
shipsec5,179861,5146478,0.3052,0.3055,0.3067,0.3079
pli,22696,686502,0.0504,0.0504,1.0974,0.0539
roadNet-CA,1971282,2766607,1.0567,1.2263,1.032,1.2323
cage12,130229,2032536,0.3407,0.3395,0.3559,0.3552
co9,22925,109651,0.1695,0.034,0.162,0.0362
t60k,60006,89440,0.0343,0.0478,0.0364,0.048
viscoplastic2,32770,381326,0.0619,0.0557,0.0601,0.0609
msc23052,23053,588933,0.0521,0.0474,0.0545,0.0513
g7jac080,23671,293976,0.0529,0.0524,0.0573,0.0575
FEM_3D_thermal2,147901,3489300,0.2711,0.272,0.2741,0.276
bayer04,20546,159082,0.021,0.0213,0.0235,0.0238
li,22696,1350309,0.0882,0.0862,0.0933,0.0924
crplat2,18011,489478,0.0277,0.0281,0.0304,0.0306
halfb,224618,6306219,0.3212,0.3221,0.3132,0.3178
c-66b,49990,274498,0.282,0.0614,0.2818,0.0615
af_shell8,504856,9046865,0.5272,0.5416,0.5078,0.5327
qa8fm,66128,863353,0.0973,0.0978,0.0959,0.0982
pcrystk02,13966,491274,0.0284,0.0285,0.032,0.0321
af_1_k101,503626,9027150,0.521,0.5357,0.5048,0.5288
pds-90,475449,1014136,0.2503,0.2449,0.2366,0.2458
208bit,24431,299756,0.051,0.0515,0.0564,0.0565
in2010,267072,640858,0.2,0.2148,0.1949,0.2161
oilpan,73753,1835470,0.0991,0.0998,0.0958,0.0985
jnlbrng1,40001,119600,0.0276,0.0328,0.032,0.0343
g7jac100sc,29611,384636,0.0632,0.0629,0.069,0.0689
sd2010,88361,205361,0.0685,0.0743,0.067,0.0748
ABACUS_shell_ld,23413,218484,0.0392,0.0392,0.0427,0.0429
TSOPF_RS_b300_c2,28339,2943887,0.0991,0.0983,0.1042,0.1031
pds-30,158490,340635,0.094,0.0922,0.0882,0.0912
lhr10,10673,232633,0.0232,0.0235,0.0246,0.0245
co2010,201063,487287,0.1537,0.1647,0.1499,0.1661
c-56,35911,208405,0.1427,0.0455,0.1457,0.0501
atmosmodj,1270433,8814880,1.5651,1.5946,1.5808,1.624
lhr34,35153,764014,0.0587,0.058,0.061,0.0613
delaunay_n22,4194305,12582869,2.7787,3.0715,2.6913,3.0758
poisson3Da,13515,352762,0.0715,0.0642,0.0729,0.0722
g7jac200,59311,837936,0.1309,0.1327,0.1322,0.1349
delaunay_n20,1048577,3145686,0.6997,0.772,0.6777,0.7735
mult_dcop_03,25188,193216,2.2207,0.0489,2.0758,0.053
stokes64s,12547,74242,0.0136,0.0141,0.0154,0.0156
pds-80,434581,927826,0.2296,0.2245,0.2173,0.2252
cond-mat-2005,40422,175693,0.0336,0.0352,0.0378,0.0385
wikipedia-20061104,3148441,39383235,8.8333,8.0541,8.3792,8.0888
c-57,37834,221515,0.0343,0.0375,0.038,0.0401
GL7d20,1911131,29893084,7.119,6.6258,6.5739,6.6264
brainpc2,27608,96601,0.0174,0.0176,0.0188,0.0193
sctap1-2r,63427,186366,0.0409,0.043,0.046,0.0471
g7jac040,11791,114671,0.0309,0.0303,0.033,0.0333
pds-50,275815,590833,0.1511,0.1475,0.1426,0.1481
g7jac140sc,41491,565956,0.0865,0.0955,0.0938,0.0977
chipcool1,20083,281150,0.0549,0.0548,0.0604,0.0605
wv2010,135219,331461,0.1118,0.1184,0.109,0.1195
x104,108385,5138004,0.2478,0.2425,0.2492,0.2457
jan99jac080sc,27535,171522,0.0309,0.0314,0.0341,0.0343
pwt,36520,181313,0.029,0.0307,0.0326,0.0334
de2010,24116,58028,0.0208,0.0211,0.0227,0.023
copter2,55477,407714,0.0646,0.0721,0.0673,0.0725
netherlands_osm,2216689,2441238,1.1012,1.312,1.09,1.3192
CurlCurl_0,11084,62213,0.0118,0.0123,0.0132,0.0136
kim1,38416,933195,0.06,0.07,0.0656,0.0676
rlfprim,62717,320591,0.0516,0.0566,0.052,0.0563
CurlCurl_4,2380516,14448191,2.0332,2.1851,1.9554,2.1643
finan512,74753,335872,0.0748,0.0788,0.0745,0.0797
TSOPF_RS_b2383_c1,38121,16171169,0.4935,0.4007,0.4818,0.4134
case39,40217,526139,0.0345,0.0349,0.0389,0.0386
usroads,129165,165435,0.0794,0.0888,0.0769,0.0896
bodyy6,19367,77057,0.0163,0.0171,0.0183,0.0187
3dtube,45331,1629474,0.3808,0.1204,0.3343,0.12
italy_osm,6686494,7013978,2.9287,3.694,2.9397,3.7052
fcondp2,201823,5748069,0.2928,0.2937,0.289,0.2924
consph,83335,3046907,0.1658,0.1659,0.1659,0.1667
soc-Slashdot0902,82169,948464,0.4557,0.2093,0.4033,0.216
GaAsH6,61350,1721579,0.2503,0.1769,0.2393,0.184
nd2010,133770,312973,0.1019,0.1101,0.0996,0.1104
pds-40,217532,466800,0.1214,0.1186,0.1149,0.1193
n4c6-b12,69236,332865,0.0616,0.0662,0.0674,0.0685
ASIC_100k,99341,954163,15.8287,0.1501,13.3604,0.1491
m14b,214766,1679018,0.3155,0.3172,0.3098,0.3195
GL7d16,955129,14488881,3.2642,3.105,3.0672,3.1133
BenElechi1,245875,6698185,0.3207,0.3223,0.3162,0.3217
mo2010,343566,828284,0.256,0.2747,0.2503,0.2765
sls,1748123,6804304,0.9558,1.1677,0.9664,1.1705
relat8,345689,1334038,0.2159,0.2388,0.2289,0.2419
wikipedia-20060925,2983495,37269096,8.587,7.6073,8.183,7.6416
c-68,64811,315408,0.3369,0.0856,0.3303,0.0867
GL7d22,822923,8251000,2.1512,1.7687,1.988,1.7652
lowThrust_9,18045,114806,0.0204,0.0202,0.0232,0.0238
G2_circuit,150103,438388,0.1151,0.1269,0.1141,0.1279
OPF_6000,29903,166160,0.0371,0.0377,0.0401,0.0415
CO,221120,3943588,0.5371,0.5343,0.5594,0.5574
2cubes_sphere,101493,874378,0.1592,0.1589,0.159,0.1618
TF19,317956,4370721,0.8052,0.7886,0.8147,0.8098
net100,29921,1031560,0.1116,0.0967,0.1314,0.1086
rgg_n_2_18_s0,262145,1547283,0.3441,0.344,0.341,0.3497
TSOPF_RS_b678_c2,35697,8781949,0.2766,0.2394,0.2736,0.2484
amazon0505,410237,3356824,0.6199,0.619,0.5917,0.6173
cage11,39083,559722,0.0959,0.101,0.1063,0.1075
lp_ken_18,154700,358171,0.4933,0.1386,0.4428,0.1407
rgg_n_2_17_s0,131073,728753,0.1689,0.1688,0.1665,0.1711
12month1,872623,22624727,18.3527,3.5309,17.4615,3.6151
c-62ghs,41732,300537,0.4599,0.0589,0.4616,0.0629
Zd_Jac2_db,22836,676439,0.074,0.0645,0.086,0.0729
cz20468,20469,206076,0.031,0.0311,0.0345,0.0344
pkustk09,33961,808800,0.0557,0.0592,0.0604,0.0623
Delor295K,1823929,2401323,0.3734,0.3762,0.3659,0.378
ms2010,171779,419990,0.1325,0.1419,0.1292,0.1428
g7jac040sc,11791,114671,0.0304,0.0301,0.0329,0.0329
